metier_original,occurrences,mots_malgache,mots_francais
MPIVAROTRA DIVAY SY TOAKA,6,"mpi, var",
MANAMPY FIANAKAVIANA AMIN FAMBOLENA,6,"man, famb",
MANATITRA ZAZA ANY ANTSEKOLY AMINNY BICYCLETTE,6,man,
MPAMBOLY SY MPIOMPY MADINIKA,6,"mpi, mboly, mpam",
MIVAROTRA MOFO GASY SY DITé,6,"miv, var, mofo",
MPAMBOTRA TRANO,6,"trano, rano, mpam",
MIKARAMA MANAO CANAL NY VARY,6,"man, var, vary, karama",
MIADY CANAL,6,,
FIVAROTANA BROCANTEUR,6,var,
ZAITRA,6,,
MARIN,6,,
MAMBOATRA SY MIVAROTRA CHARBON,6,"mam, miv, var",
MILITAIRE,6,,
MPANAMBOATRA BISCUIT GASY,6,mpan,
MIVAROTRA FILAO,6,"miv, var",
MANAMBOATRA BISCUIT GASY,6,man,
MAMBOLY SAKAY,6,"mam, mboly",
MAMBOLY LEGUME SY VARY,6,"mam, var, vary, mboly",
MAKA SARY,6,,
PROSTITUE,6,,
PROSTITUER,6,,
MIVAROTRA PRODUITS COSMETIQUES,6,"miv, var",
CHEF FOKOTANY,6,tany,chef
MIOMPY POULET DE CHAIR SY AKOHO GASY,6,akoho,
MPIVAROTRA ENTA MADINIKA AMIN NY EPICERIE,6,"mpi, var",
MIARAMILA (MONITEUR PARACHUTISTE),6,,
AUDITEUR,6,,
MANAO CAFE SY MOFO ARY LASOPY SY COMPOSE,6,"man, mofo",
MPANAMBOATRA TRANO maçon,6,"trano, rano, mpan",maçon
GREFFIER,6,,
MIAMBINA LAKORO,6,,
MIKARAMA MANAO VATO ENY @CARRIERE,6,"man, karama",
MIASA VATO @ CARRIERE,6,,
MATSAKAN OLONA,6,,
MANAO BRICOLAGE,6,man,
KIBARO,6,,
MPANAO CONFECTION,6,mpan,
REPARATEUR ELECTRONIQUE,6,,
VAROTRA PPN,6,var,
MANAMPY MANASA LAMBA,6,"man, lamba",
DOCEURE,6,,
CHAFFEUR,6,,
MPAMBOLY VOAMANGA,6,"man, mboly, mpam",
MAMBOLY VARY MANGAHAZO LEGUMES,6,"mam, man, var, vary, mboly",
INGENIEUR INFORMATIQUE,6,,
AGENCE DE CONSEIL DE LA SANTE,6,,
MPANJAHITRA,6,mpan,
MIVAROTRA VOMANGA SY MANGAHAZO ARY TSARAMASO,6,"man, miv, var",
MANAMBOATRA SY MIVAROTRA TOKA,6,"man, miv, var",
MIVAROTRA BOISSON,6,"miv, var",
RECEVEUR BUS,6,,
MANAO TOAKA,6,man,
MPAMPIANANTRA,6,"mpi, mpam",
MANEUVRE MACON,6,man,
MANAMBOTRA FROMAGE,6,man,
MIANDRY CACAO,6,,
GARDIEN (COLLEGE PRIVE),6,,
MANAO MANOEUVRE (RESAKA TRANO),6,"man, trano, rano",
MPANDRAFITSE,6,mpan,
NAMBOTRA CHARBON,6,,
Mpamboly vary,6,"var, vary, mboly, mpam",
MANAMBOTRA FIARA,6,man,
MPAMIANATR ENY @EPP AMBALAHONKO,6,mpam,
MITATITRA ENTANA @ SARETY,6,entana,
MPANERA @ PARQUAGE,6,mpan,
MANAMPY MAMBOLY VARY MADINIKA,6,"mam, man, var, vary, mboly",
MIVAROTRA PRODUIT DE MER,6,"miv, var",
MIARAK'ANDRO,6,,
MIKARAMA MIVAROTRA LAMBA,6,"miv, var, lamba, karama",
saraka antsaha,6,,
AGENT PENITENCIER,6,,agent
MPIVAROTRA AKORA AMPIASAINA @ FAMBOLENA,6,"mpi, var, famb",
MAMBOLY JIROFO,6,"mam, mboly",
MIVAROTRA ANAMAMY,6,"mam, miv, var",
MISANGOTRA JIROFO,6,,
MAMPIANATRA EPP,6,"mpi, mam",
MIAMBINA OMBY,6,omby,
"MAMBOLY VARY,MANGAHAZO",6,"mam, man, var, vary, mboly",
LIVREUER,6,,
MPIVAROTRA VOAKAZO,6,"mpi, var",
MASSEUSE,6,,
MANAO SY MIVAROTRA YAOURT,6,"man, miv, var",
MPIVAROTRA TOAKA MANDENDEHA,6,"mpi, man, var",
MPIVAROTRA KOJAKOJA,6,"mpi, var",
MIVAROTRA NEM,6,"miv, var",
MIKARAKARA KARAMA NY MPIASA,6,"mpi, karama",
MPANDRAFYTRA FANAKA,6,mpan,
MIVAROTRA ROFIAGNE,6,"miv, var",
MAMAROTRY TOAKY,6,mam,
MACONNERIE,6,,
MIAVAROTRA CHARBON,6,var,
MIV1ROTRA CHARBON,6,miv,
MPIANTOKA CHARBON,6,mpi,
SUIVI DES DOSSIER ENVOYER PAR COURRIER ET FACTEUR,6,,
MIVAROTRA MOFO SY KAFE,6,"miv, var, mofo",
MPIVAROTRA TRONDRO LENA,6,"mpi, var",
MIVAROTRA VONIKAZO,6,"miv, var",
MPAMPIANATRA AMINY ECOLE PRIMAIRE,6,"mpi, mpam",
DIRECTEUR D ECOLE PRIMAIRE PUBLIC,6,,directeur
"Mivarotra trondro maina,patsa,makamba,voamaina",6,"miv, var",
MAMAO SARAKA ANTSAHA,6,mam,
AGENT PORTEFEUILLE,6,,agent
MANARATO ANDRANOMASINA,6,"man, rano",
MANDRARY LAFIKA,6,man,
ASSISTANT ADMINISTRATIF,6,,assistant
VOLY LAISO,6,voly,
MANAO CROCHET,6,man,
CROCHET,6,,
MIVAROTRA SY MANDRARY TSIHY,6,"man, miv, var",
PIVAROTRA ANANA,6,var,
MIARALILA SOUS OFFICIERS,6,,
CHAUFFEUR TAX BROUSSE,6,,chauffeur
CAICIER,6,,
ADJOINT ADMINISTRATIF,6,,
MPAMPIANATRA PRIMAIRE PUBLIC,6,"mpi, mpam",
MAçons,6,,maçon
"NAMBOLY VARY,VOMANGA,KATSAKA,TSARAMASO,POMA,OVY",6,"man, var, vary, katsaka, mboly",
"NANMBOLY VARY,OVY,KATSAKA,POMA,TSARAMASO,VOMANGA",6,"man, var, vary, katsaka, mboly",
MANJAITRA HARONA,6,man,
MANAO TADY,6,man,
MAMBOATRA TADY,6,mam,
MPAMBOLY LOJY SY VARY,6,"var, vary, mboly, mpam",
MANOEUVRFE,6,man,
MPAMPIANATRA FRANCAIS,6,"mpi, mpam",
MIASA MANGAHAZO,6,man,
MITATITRA ENTANA AMIN'NY SARETY,6,entana,
MPITONDRA FIANGONANA,6,mpi,
SURVEILLANT DE CEG  (ECOLE),6,,
MPOMPISTE,6,mpi,
MPAMBOLY VOMANGA MANGAHAZO,6,"man, mboly, mpam",
MIVARO-DAMBA,6,"miv, var",
MPAMBOLY MADINIKA ( VARY),6,"var, vary, mboly, mpam",
FIASANA TANY FAMBOLENA,6,"famb, tany",
MANAMBOATRA BICYCLETE,6,man,
MPANAMBOATRA ANGADY,6,mpan,
MPAMBOLY VARY ANKORAKA SY ANTANETY,6,"var, vary, mboly, mpam",
MPANAMPY FIANAKAVIANA @ FIVAROTANA TRONDRO,6,"var, mpan",
MIVAROTRA AKOHO AMAMBORONA,6,"mam, miv, var, akoho",
MIVAROTRA VOANKAZO SY FIA SALY,6,"miv, var",
MPANARATO ANDRANOMASINA,6,"rano, mpan",
MIPIKO JIROFO,6,,
MPIVAROTRA MOFO GASY SY MOFO SIRA,6,"mpi, var, mofo",
CONSEILLER,6,,conseiller
ELECTRICIEN MIASA TENA,6,,electricien
MPIVAROTRA ZAVAM-PISOTRO,6,"mpi, var",
EMPLOYE DE BUREAU (ORGANISATEUR DES VOYAGES),6,,
DOCKEUR,6,,
MPIOMPY BITRO,6,mpi,
MIKARAMA MATSAKA RANO,6,"rano, karama",
FAMBOLENA PETSAY,6,famb,
MANADIO THON,6,man,
MANERA AMIN'NY TAXI BROUSSE,6,man,
MAKA BARARATA,6,,
MAKA SY MIVAROTRA FANDREHITRA,6,"miv, var",
MANOMANA TANY KABARO,6,"man, tany",
"MAMBOLY VARY,TSARAMASO,ANGIVY",6,"mam, var, vary, mboly",
Mamboly vary sy café,6,"mam, var, vary, mboly",
MAGASINIER EN QUINQUAILLERIE,5,,
Mampianatra@EPP,5,"mpi, mam",
MANAO SAISIE,5,man,
MPIVAROTRA FRIPPERIE,5,"mpi, var",
MPIVAROTRA CHARBON SY VOAMAINA,5,"mpi, var",
"NAMBOLY VARY,OVY,KAROTY,KATSAKA,VOMANGA,MANGAHAZO",5,"man, var, vary, katsaka, mboly",
"NAMBOLY VARY,KATSAKA,KAROTY,OVY,VOMANGA,MANGAHAZO,",5,"man, var, vary, katsaka, mboly",
MPANJONO ANDRANOMAMY MADINIKA,5,"mam, rano, mpan",
"MPIVAROTRA DIVAY, TOAKA GASY,RAKENA",5,"mpi, var",
MANANGONA RONONO,5,man,
MPITONDRA POUSSE POUSSE,5,mpi,
MPIARAKA OMBY,5,"mpi, omby",
MANAMBOATRA PANIER,5,man,
MAMAKY KAKAZO,5,mam,
TECHNICIEN DE LABORATOIRE,5,,technicien
MAMBOLY VARY.MANGAHAZO,5,"mam, man, var, vary, mboly",
MIVAROTRA LETCHI,5,"miv, var",
RESPONSABLE TRANSITE,5,,responsable
MAMPIANATRA AMIN'NY UNIVERSITE,5,"mpi, mam",
PHARMACIENNE,5,,
CONTROLEUR QUALITE,5,,
MPIASA BIRAO,5,mpi,
FIOPINA OMBY,5,omby,
CHEF D'EQUIPE,5,,chef
AGENT DE CHANTIER,5,,agent
MPANAMPY FIANAKAVIANA @ FAMBOLENA VARY SY MANGAHAZ,5,"man, var, famb, vary, mpan",
ELECTROTECHNICIEN,5,,technicien
DIRECTRICE @ COLLEGE PRIVVE,5,,
MPANOTRA OLONA TAPAKA TAOLANA,5,mpan,
MPIVAROTRA KOJAKOKO FIHAINGO VEHIVAVY,5,"mpi, var",
MIKARAMA MPANASA LAMBA,5,"lamba, karama, mpan",
AIDE MENUSIEUR,5,,
MITONDRA TAXI,5,,
MPANAO ARINA,5,mpan,
MPAMPIANATRA MALAGASY,5,"mpi, mpam",
MANAO SY MIVAROTRA MOFO GASY,5,"man, miv, var, mofo",
MPANAO SIRA,5,mpan,
DEMARCHEUR VOLAFOTSY,5,,
MPIVARO-KEN'OMBY ENY@TSENA AMORONDALANA,5,"mpi, var, omby",
MPIVAROTRA ANANA SY LEGUME AMORON DALANA,5,"mpi, var",
NAMBOLY VOAMANGA,5,"man, mboly",
MANAO GATEAUX,5,man,
MANAO SARAKA ANTSAH,5,man,
MANAMBOATRA MOTO,5,man,
MITAONA ENTANA AMIN KIBOTA,5,entana,
MPIVAROTRA MOFO SY CAFE,5,"mpi, var, mofo",
MAMAKY FOLERA VANILLE,5,mam,
MAITRE FRAM AMIN'NY CEG,5,,
MPAMPIANATRA AMIN'NY LYEE,5,"mpi, mpam",
"MANJAITRA AKANJO,GILET,ROBE",5,man,
KOMITIM-POKONTANY,5,tany,
PENINTATIARE,5,,
REGISEUR DE CAISSE COMMUNE SANDRANDAHY,5,,
MPITONDRA POUSE POUSE,5,mpi,
LOGISTICIEN ET MAGASINIER,5,,
GESTIONNAIRE CLIENTEL,5,,
PANAMPY AO ATRANO,5,"trano, rano",
ANGENT DE SECURITE,5,,
SARAKATSAHA£,5,,
MANAMBOTRA CROISSANT,5,man,
SECRETARIAT,5,,
FANDRARINA,5,,
MPITARIKA POSY MITONDRA OLONA,5,mpi,
MITONDRA SARETY (TSY TOMPONY),5,,
SERVEUSE AMINY GARGOTTE,5,,
MIVAROTRA JUS NATUREL,5,"miv, var",
MPIVAROTRA GLACE,5,"mpi, var",
MITRANDRAKA VATO QUARTZ,5,,
RASAZY,5,,
MIBATA ENTANA AMIN'NY MAGASIN MPANAO TRONDRO MAIKY,5,"entana, mpan",
MANAMPY MPANAMBOATRA HARATO,5,"man, mpan",
DIRECTEUR NY BOA,5,,directeur
MIASA ANATY TOKAN-TRANO KILASY MANDRY,5,"man, trano, rano",
Sarakantsaha,5,,
MANAMPY MIVAROTRA PPN @GROSSISTE,5,"man, miv, var",
MPIVAROTRA FYA,5,"mpi, var",
MPITODRA POSY,5,mpi,
MIKARAMA MAMBOLY VARY,5,"mam, var, vary, mboly, karama",
MPAMPIANATRA @ ECOLE PRIMAIRE,5,"mpi, mpam",
MIVAROTRA TOAKA ENY ANTSENA,5,"miv, var",
FEMME DE SURFACE AO AMIN'NY UNIVERSITE MAHAJANGA,5,,
MAçON AMIN'NY FANAMBOARANA TRANO,5,"trano, rano",maçon
SECRETAIRE ADMINISTRATIF LYCEE,5,,secretaire
MANAO PLAN TRANO,5,"man, trano, rano",
MAHANDRO,5,,
CYCLO POUSSE,5,,
CHAUFFEUR TAXIBE,5,,chauffeur
OMBIASA (DADARABE),5,,
MANAO MOFO CROISSSANT,5,"man, mofo",
MANAMBOTRA JUS SY YAOURT,5,man,
MANAO CROISSANT,5,man,
MIVAROTRA ENTA MADINIKA SY VARY FOTSY,5,"miv, var, vary",
DEMARCHEUR VANILLE,5,,
AGENT DE PARC,5,,agent
MPIKARAKARA JIROFO,5,mpi,
MPAMBOLY VOANJO SY LOJY,5,"mboly, mpam",
MPAMBOLY LOJY SY ATSANJY ARY KATSAKA,5,"katsaka, mboly, mpam",
MANAMPY MAMBOLY LOJY SY ATSANJY,5,"mam, man, mboly",
MPAMBOLY ATSANJY,5,"mboly, mpam",
MPAMBOLY BARANJELY,5,"mboly, mpam",
MANAMPY AMINY FAMBOLENA MANGAHAZO,5,"man, famb",
MPANAMBOATRA SARIBAO,5,mpan,
ADJOINT FOKONTANY,5,tany,
MIVAROTRA SOLDE ENTANA KARAZANY MARO,5,"miv, var, entana",
MIANDRY OSY,5,,
CHAUFFEUR AMIN'NY SOCIETE SALAMA,5,,chauffeur
MPIAVOTRA HANIMASAKA,5,mpi,
MPITONDRA TAXI MOTO,5,mpi,
ASA VOLAMANENA,5,man,
MAMPIANATRA AMIN'EPP,5,"mpi, mam",
FEMME DE MENAGE AMIN'NY HOTEL,5,,
MANAO LASOPY,5,man,
MANIVANAVOLAMENA,5,man,
MANDOKO TOMOBILE,5,man,
MIKARAKARA VANILLE,5,,
MPISERA VY,5,mpi,
MIKARAMA MANAO SOUDURE AMIN'OLONA,5,"man, karama",
NIASA NITSIMPONA KARETSIKA,5,,
MIVAROTRA MENAKA KINANA,5,"miv, var",
ANIMATRICE DE SANTE,5,,
MANAMBOATRA TOMOBILE,5,man,
MIVAROTRA LAMBA FRIPY,5,"miv, var, lamba",
MACON MIARAKA AMIN OLONA,5,,
RESPONSABLE @FANADIOVANA,5,,responsable
MAMPIANATRA 10 ème,5,"mpi, mam",
MANAMNBOATRA TOAKA,5,man,
MPIVARITRA FIA,5,"mpi, var",
PERSONELLE AO AMIN'NY MEN,5,,
MPAMPIANATRA MPANAMARI-DRARAHA,5,"mpi, mpan, mpam",
Chef ZAP à Tsiamalaho Sud,5,,chef
Responsable de personnel au SISCO Befandriana Nord,5,,responsable
MIONPY,5,,
PASCOMA,5,,
MIVAROTRA ETAMADINIKA,5,"miv, var",
AMBASSADEUR DE DEVELOPPEMENT,5,,
MIVAOTRA RAFIA,5,miv,
INSPECTEUR,5,,
MPAMPIANTRA ENY @CEG,5,"mpi, mpam",
MPIVAROTRA FIRAVAKA,5,"mpi, var",
MANAO CHARBON DIA VAROTANA,5,"man, var",
GARDIEN DE FERME DE CANNE A SUCRE,5,,
MIASA TANIM-BARY,5,,
MIANTOKA POMMA ENY AMIN'NY TANTSAHA,5,,
GENDARME ADJUDANT CHEF,5,,chef
MANASA LAMBA @ TOKANTRANO MARO,5,"man, lamba, trano, rano",
MANAO MANOEUVRE FANAMBOARANA TRANO,5,"man, trano, rano",
MANASA LAMBA ANOLONA,5,"man, lamba",
MIVIDY SY MIVAROTRA GLACE,5,"miv, var",
MAMPIANATRA MATHEMATIQUE @CEG,5,"mpi, mam",
MPIKARAMA MAMAKY HAZO,5,"mpi, mam, karama",
MPITRADRAKA VOLAMENA,5,mpi,
MPIAMBINA TANANA ZAZA MAINTY,5,mpi,
MIASA AMINANDRO,5,,
MPIAVA VARY,5,"mpi, var, vary",
MANAMBOATRA VARAVARANA VY,5,"man, var",
FORMATEUR CRINFP AMBOHIMANGAKELY,5,man,
MAMPIANATRA MALAGASY AMIN'NY LYCEE MORARANO CHROME,5,"mpi, mam, rano",
MITANDRO NY FILAMINANA,5,,
DEMARCHEUR HAZAN-DRANOMAMY,5,"mam, rano",
MIHAZA TRONDRO,5,,
MIVAROTRA PATY MASAKA,5,"miv, var",
SOUDEURS,5,,
MAMPIANATRA @EPP,5,"mpi, mam",
MANAO GRAVILLION,5,man,
MAMPIDITRA ATODY ANATY ALVEOL,5,"mpi, mam",
TALE FAMPIANARANA,5,mpi,
RESPONSABLE TECHNIQUE,5,,responsable
GARDIAEN MA FOAM,5,,
SAGE FEMME AMIN'NY CSB,5,,
MIVAROTRA LAMBA MANDEHANDEHA,5,"man, miv, var, lamba",
MANAMBOATRA VOVO,5,man,
MITONDRA POSSY,5,,
MIKARAMA MIARAKANDRO OMBY,5,"omby, karama",
MIVAROTRA KAPA SY FITAFY,5,"miv, var",
"MAMBOLY VARY,BALAHAZO",5,"mam, var, vary, mboly",
MAMBOLY AVOTRA,5,"mam, mboly",
MPIVAROTRA VOKATRA LEGIOMA,5,"mpi, var",
MITONDRA BAJAJA,5,,
BAR MAN,5,man,
ELECTRICIEN AUTO-MOBILE,5,,electricien
MAMPIANATRA AMINY SEKOLY AMBARATONGA 1,5,"mpi, mam",
MANAMPY MITETIKA HENA,5,man,
MANJONO FILAO AN-DRANOMASINA,5,"man, rano",
CHAUFFEUR TAXI BROUSSE TANA SAMBAVA,5,,chauffeur
MPAMBOLY VANILLE CAFE GIROFLE,5,"mboly, mpam",
MASOKINERAPEUTE @HOPITALIM-PANJAKANA,5,,
ELECTR0NIQUE,5,,
ISPECTEUR DE POLICE,5,,
MANAO COMPOSE SY LASOPY,5,man,
MPANAMPY FIANAKAVIANA @ FANAMBOARANA COMPOSE SY LA,5,mpan,
GERANT GROSSISTE TELMA,5,,
RAF ONN,5,,
DIRECTRICE ECOLE PRIVEE,5,,
MPIVAROTRA PPN EPICERIE,5,"mpi, var",
NANETSA VARY,5,"var, vary",
BOUCHIER,5,,
TALEM-PARITRA NY FOP,5,,
SARAKA ANTSAH,5,,
MIVAROTRA LEGUOME,5,"miv, var",
MPIANDRY OMBY(TSIMIASY),5,"mpi, omby",
MITONDRA POUSSE POUSSE,5,,
"MPANAO GRAVILLON, KAIASY",5,mpan,
MITSIPONA VOANEMBA,5,,
MACHINISTE MITETIKA HAZO,5,,
MANOUEVRE AGRICOLE,5,man,
MANAO TESTE AO AMIN'NY LABORATOIRE,5,man,
MIVAROTRA LAMBA SY SAVATE,5,"miv, var, lamba",
MIASA @ FITOTONA VARY,5,"var, vary",
MAGNETSA VARY,5,"var, vary",
MPIVAROTRA KITAY FANDREHITRA,5,"mpi, var",
MANDRARY SY MIVAROTRA HARONA TSIHY,5,"man, miv, var",
MAMBOLY VARIY,5,"mam, var, mboly",
MPAMBOLY OVY,5,"mboly, mpam",
GEOMETRE,5,,
MPIVAROTENA,5,"mpi, var",
PIVAROTRA CHARBON,5,var,
ADJOINT STATISTIQUE,5,,
RESPONSABLE PERSONNELLE DE SANTE,5,,responsable
MANARATO HAZAN-DRANOMASINA,5,"man, rano",
TECNICIEN DE MAINTENANCE,5,,
Conseillée Animateur,5,,
AGENT SECURITE AU G4S,5,,agent
EDUCATRICE AKANY AVOKO,5,,
MPANAMPY MPIASAN'OLONA,5,"mpi, mpan",
MPANAMPY MIKARAKARA TOKATRANO,5,"trano, rano, mpan",
MANANGONA KITAY,5,man,
MANDRARY LAFIKY,5,man,
PROFESSEUR,5,,
MIVARITRA LAMBA SY SAVATE,5,"miv, var, lamba",
SAKATSAHA,5,,
MAJAITRA BE MIRAY,5,,
PLOGEUR,5,,
MIVAROTRA RANO FISOTRO,5,"miv, var, rano",
MAMBOATRA YAOURT,5,mam,
MPAMBOLY HONKO AMIN EDEN,5,"mboly, mpam",
MAMBOLY VARYµ,5,"mam, var, vary, mboly",
MIVAROTRA PRODUIT,5,"miv, var",
FIASANA ANY AMINY BIRAO,5,,
FIKARAKARANA TOKATRANO,5,"trano, rano",
MIVAROTRA FRITE AKONDRO,5,"miv, var",
MPIASA TRANO AMIN'NY OLON-TSOTRA (ETRANGER),5,"mpi, trano, rano",
MPANAO INSTALATION BRANCHEMENT @TRANO,5,"trano, rano, mpan",
EXPORTATAIRE MINIER,5,,
MANONDRANA PIERRE INDUSTRIELLE,5,man,
MANAMBOATRA ESSENCE GIROFLE,5,man,
MANAO SOUDURE ELECTRIQUE,5,man,
MPAMBOLY LEGUME SY CEREALES,5,"mboly, mpam",
SECRETAIRE AO AMIN'NY DOMAINE,5,,secretaire
MPANJAITRA ANKANJO,5,mpan,
MIPAIKA VATO,5,,
PANAMBOATRA TSIHY,5,,
MPAMPIANATRA EPP ANKADINANKANGA,5,"mpi, mpam",
MANOEUVRA RAFITRA TRANO,5,"man, trano, rano",
MANOTO VARY,5,"man, var, vary",
"MAMBOLY VARY,KAROTY,HARICOT VERT,SOJA,OVY,KATSAKA",5,"mam, var, vary, katsaka, mboly",
"NAMBOLY VARY,KAROTY,SOJA,HARICOT VERT,OVY,KATSAKA",5,"var, vary, katsaka, mboly",
MAMPIANATRA AMBARATONGA FAHAROA,5,"mpi, mam",
FANAMBOARANA MOFO SY CAFE,5,mofo,
MPAMBOLY VARY AMDINIKA,5,"var, vary, mboly, mpam",
MPANAMPY ANTRANO AM ASA FAMBOLENA SY MIANDRY OMBY,5,"famb, omby, trano, rano, mpan",
MIVAROTRA BOONBON COCO,5,"miv, var",
MAMPIANATRA ANY AMIN'NY EPP,5,"mpi, mam",
FAMBOLENA MANAO SARAKATSAHA,5,"man, famb",
MPANAO SY MPIVAROTRA MOFO SY CAFE,5,"mpi, var, mofo, mpan",
Mpampianatra @ambaratonga faha 2,5,"mpi, mpam",
MPIVAROTRA VOLAMENA,5,"mpi, var",
MPANATSOFA HAZO,5,mpan,
MPAMPIANATRA 6è CEG,5,"mpi, mpam",
AIDE CUISINIER,5,,
PERCEPTEUR DE LA COMMUNE URBAINE SAMBAVA,5,,
PREPARATEUR DE LA VANILLE,5,,
MPAMPIANATRA AMIN'NY LYCEE SAHAMBAVY,5,"mpi, mpam",
TECHNICIEN DE SURFACE @ HOPITALY BE,5,,technicien
MPIANTOKA RONONO,5,mpi,
FIOPIANA,5,,
MAMPIANATRA LYCEE PRIVE,5,"mpi, mam",
MPANAO COPIE AO AMIN'ny COMMUNE,5,mpan,
MANJONO AN DRANOMASINA,5,"man, rano",
"FAMBOLENA TSAKO,DABOARA,VOATANGO,KIDA",5,famb,
"FAMBOLENA TSKO,VOATANGO",5,famb,
MPIVAROTRA VARY MANTA,5,"mpi, man, var, vary",
MPANERA ENY AMINY TAXIBROUSSE,5,mpan,
MIVAROTRA MOFO VAR,5,"miv, var, mofo",
MIOMPY AKOH0,5,,
TAILLEUR,5,,
MANAO TOAKA GASY,5,man,
MAMDRARY,5,mam,
VOLY OVY MADINIKA,5,voly,
MPANAMBOATRA BICYCLETE,5,mpan,
MPIIVAROTRA MOFO GASY,5,"mpi, var, mofo",
MANADIO BIRAO,5,man,
MAKA RAKETA,5,,
MPANASA,5,mpan,
MANAO MENAKA MISE EN SACHET,5,man,
MAMENO RANO DIA MAMPIDITRA ANATY FIARA,5,"mpi, mam, rano",
MAGASINIERE,5,,
MANAMPY FIANAKAVIANA AMIN FAMBOLENA VARY,5,"man, var, famb, vary",
MPANAMPY FIANAKAVIANA AMIN FAMBOLENA VARY,5,"var, famb, vary, mpan",
MIVAROTRA HENAKISOA ENY @ETALAGE,5,"miv, var",
SARAKANTAHA,5,,
MIASAN'OLONA,5,,
MAMBOLY SY MIVAROTRA FARY,5,"mam, miv, var, mboly",
MAMBOATRA FIBRE SISAL,5,mam,
MPANARATO AMIN'NY EPERVIER AMIN'NY FARIHY RANOMAMY,5,"mam, rano, mpan",
MPAMPIANATRA AMIN'NY FANJAKANA,5,"mpi, mpam",
INGEGNIEUR ENVIRONNEMENT,5,,
ANIMATERICE PROJET (SANTE),5,,
MANAO CYBER CAFE,5,man,
MIVAROTRA ENTA MADINIKA  MIVAROTRA,5,"miv, var",
MANARATO HAZANDRANOMAMY,5,"mam, man, rano",
MPANAO DOKER,5,mpan,
"MPIVAROTRA PLANCHE,POTEAUX",5,"mpi, var",
DOCKER MIBATA ENTANA,5,entana,
MPAJONO TRONDRO GASY,5,,
ASSISTANT EXPERT GEOMETRE,5,,assistant
FANARATOANA FIA,5,,
MANARAT0,5,man,
MANANGONA PLASTIKA,5,man,
CHAUFEUR TAXI-BROUSSE,5,,
LIVREUR CACA-PIGEON,5,,
MIANTOKA VOANKAZO,5,,
SARAKATSAKA,5,katsaka,
MAMINTANA,5,mam,
MANAMBOATRA ECOLE COMMUNAUTAIRE,5,man,
MANAMPY AMIN NY ASA FAMBOLENA REHETRA,5,"man, famb",
SARAKA AN'TSAHA,5,,
MANDRAFITRA TRANO(MAçON),5,"man, trano, rano",maçon
NIAVA VOANJOBORY,5,,
MANAMBOATRA BRIKY TANIMANGA,5,man,
INGENIEUR HYDROLIQUE,5,,
INTEPRENEUR DE BATIMENT,5,,
MIHAVA TANIN-KATSAKA,5,katsaka,
AIDE VADEUR AMINY EPICERIE,5,,
CHAUFFEUR POIDS LOURD,5,,chauffeur
MIKIARAKARA FIOMPIANA,5,mpi,
MIANTOKA VOANKAZO SY MIVAROTRA,5,"miv, var",
MPANAMBOATRA LASOPY SY COMPOSE,5,mpan,
MIVAROTRA YAOURT SY GATEAU,5,"miv, var",
MITONDRA LAKANA,5,,
COMMISSIONNAIRE LA VANILLE,5,,
MPANDRAFITRA SARETIN'OMBY,5,"omby, mpan",
MIVAROTRA TRONDRO FRITE,5,"miv, var",
MPIVAROTRA RANO MANDRY,5,"mpi, man, var, rano",
MPIVAROTRA TAPIS TRANO,5,"mpi, var, trano, rano",
MPANERA AMIN'NY TOMOBILINA,5,mpan,
MPITRANDRA VOLAMENA,5,mpi,
MPIKARAKARA MPIANATRA,5,mpi,
CHAUFFEUR PARTICULIER,5,,chauffeur
MIKARAMA MIAVA VARY,5,"var, vary, karama",
TALEAN'NY EPP,5,,
MANAO MASSAGE,5,man,
SECRETAIRE PARTICULIERE,5,,secretaire
RESPONSABLE DE DIRECTION,5,,responsable
PERSONNEL ADMINISTRATIVE,5,,
ENTRENEUR FOOT BALL MAINTSOVORY FIANARANTSOA,5,,
RECEPTIONNISTE DE L'ECOLE HOTELERIE LA RIZIERE,5,,
CHAUFFEUR TUKTUK,5,,chauffeur
MAPIANATRA PRIVE,5,,
MPIVAROTRA ENTAMAJINIKA,5,"mpi, var",
"MPAMBOLY VANILLE, CACAO,AKONDRO",5,"mboly, mpam",
MPAMBOLY CACAO SY VANILLE,5,"mboly, mpam",
MPAMPIANATRA FRAM @CEG,5,"mpi, mpam",
SECRETAIRE @HUISSIER DE JUSTICE,5,,secretaire
MANAO MOFO SY MIVAROTRA,5,"man, miv, var, mofo",
CHAUFERA AO @PIVOT,5,,
MITATITRA OLONA ANDRANOMASINA (VEDETTE),5,rano,
MIVAROTRA COLA,5,"miv, var",
RESPONSABLE ADMINISTRATIVE ET FINANCIER,5,,responsable
MANJONO TRONJO ANDRANO MAMY,5,"mam, man, rano",
MANAMBOATRA KIFAFA,5,man,
MIVAROTRA PIECE MOTO,5,"miv, var",
MPITONDRA TAXI,5,mpi,
MIVAROTRA MISAO,5,"miv, var",
"MAMBOLY MANGAHAZO,KATSAKA",5,"mam, man, katsaka, mboly",
MANAMBOATRA SY MIVAROTRA SAMBOSA,5,"man, miv, var",
ELECTRICIEN AUTO,5,,electricien
MPIVAROTRA FRIP,5,"mpi, var",
MPIVAROTRA EPICERIE SY BOISON ALCOLIQUE,5,"mpi, var",
MPIASANTRANO,5,"mpi, trano, rano",
