metier_original,occurrences,mots_malgache,mots_francais
MPIVAROTRA LEGUME,51,"mpi, var",
MANJAITRA AKANJO,51,man,
MPANAMPY AN TRANO,50,"trano, rano, mpan",
MIVAROTRA HENA,50,"miv, var",
MAMBOLY VOMANGA,50,"mam, man, mboly",
MANDRAFITRA TRANO,49,"man, trano, rano",
MANAO SARAKA,49,man,
MAMBOLY OVY,49,"mam, mboly",
MIVAROTRA VARY FOTSY,49,"miv, var, vary",
MANJAITRA LAMBA,48,"man, lamba",
MPAMPIANATRA AMIN'NY EPP,48,"mpi, mpam",
MPIVAROTRA SAKAFO MASAKA,48,"mpi, var",
MPANAMPY ATRANO,47,"trano, rano, mpan",
MPAMBOLY MADINIKA,47,"mboly, mpam",
MAMBOLY GIROFLE,46,"mam, mboly",
MAGASINIER,46,,
MANAO SOUDURE,46,man,
MANJONO ANDRANOMASINA,45,"man, rano",
MIVAROTRA RONONO,45,"miv, var",
MPAMPIANATRA PRIMAIRE,45,"mpi, mpam",
MANAMPY NY VADINY MAMBOLY,45,"mam, man, mboly",
MIVAROTRA MOFO,44,"miv, var, mofo",
Mamboly vary,44,"mam, var, vary, mboly",
MAMAKY VATO,44,mam,
MANAMBOATRA CHARBON,43,man,
MPAMAKY VATO,43,mpam,
MPANAO SARAKATSAHA,43,mpan,
MIVAROTRA VOAMAINA,43,"miv, var",
CUISINIER,43,,
MPANAMBOATRA TRANO,42,"trano, rano, mpan",
MIHADY VATO,42,,
MANAMPY MAMBOLY MANGAHAZO,42,"mam, man, mboly",
MANAMBOATRA TOAKA GASY,42,man,
SARAKANTSAHA AMINY TOKANTRANO MARO2,42,"trano, rano",
PREPARATEUR DE FIBRE DE SISAL,42,,
MPANARATO,42,mpan,
MPABOLY VARY,41,"var, vary",
PANJONO,41,,
MAMBOLY CACAO,41,"mam, mboly",
MANDRAFITRA,40,man,
MPANAMPY FIANAKAVIANA,40,mpan,
MANAMBOATRA SARIBAO,40,man,
POLICE,40,,
MIVAROTRA CONFECTION,40,"miv, var",
MPAMBOLY JIROFO,40,"mboly, mpam",
PASTEUR,39,,
MIVAROTRA TRONDRO MAINA,39,"miv, var",
MPAMPIANATRA @ EPP,39,"mpi, mpam",
CHAUFFEUR TAXI,39,,chauffeur
MIASA VOLAMENA,39,,
MPAMPIANATRA SECONDAIRE,39,"mpi, mpam",
SARAKAN-TSAHA,39,,
MACONS,39,,
MPIKAPOKA VATO,39,mpi,
MIJINJA VARY,39,"var, vary",
MIASA AN-TRANO,39,"trano, rano",
SARAKA ATSAHA,39,,
MIVAROTRA MOFO GASY,38,"miv, var, mofo",
MITONDRA POSY,38,,
MANAO SATROKA,38,man,
MIVAROTRA LEGUMES,38,"miv, var",
MPIOMPY AKOHO,38,"mpi, akoho",
MPIVAROTRA FRIPERIE,38,"mpi, var",
MPIVAROTRA RANO,38,"mpi, var, rano",
MPANOTRA,38,mpan,
MANBOLY VARY,38,"man, var, vary",
MAMBOLY LEGUME,37,"mam, mboly",
MIVAROTRA RAKETA,37,"miv, var",
MAMBOLY VARY SY LAVANILA,37,"mam, var, vary, mboly",
MANJONO TRONDRO ANDRANOMASINA,36,"man, rano",
MPANAO SARAKA AN-TSAHA,36,mpan,
MITONDRA CYCLO POUSSE,36,,
MIVAROTRA CAFE SY MOFO,36,"miv, var, mofo",
MANAMBOATRA TSIHY,36,man,
MPANDRAFITRA,36,mpan,
MITOTO VARY,35,"var, vary",
MANERA AKOHO,35,"man, akoho",
FEMME DE CHAMBRE,35,,
MPANTSAKA RANO,35,"rano, mpan",
MPITRANDRAKA VATO,35,mpi,
MIVAROTRA FRIPE,35,"miv, var",
MPIOMPY OMBY,35,"mpi, omby",
MANDRAFITRA FANAKA,35,man,
MIVAROTRA RANO,34,"miv, var, rano",
MPAMBOLY LENTILLES,34,"mboly, mpam",
MAMBOLY BALAHAZO,34,"mam, mboly",
MPANERA,34,mpan,
MANAO SARAKASAHA,34,man,
MANETSA,34,man,
MPIVAROTRA @ EPICERIE,34,"mpi, var",
MITRANDRAKA VATO,34,,
MPIVAROTRA TRONDRO FRITE,34,"mpi, var",
MANAO SY MIVAROTRA CAFE SY MOFO,33,"man, miv, var, mofo",
MANEFY VY,33,man,
MPIVAROTRA CAFE SY MOFO,33,"mpi, var, mofo",
MIKARAMA MANETSA,33,"man, karama",
MPAMBOLY VARY SY MANGAHAZO,33,"man, var, vary, mboly, mpam",
MIASA KARIERA,33,,
MIVAROTRA TELEPHONE,32,"miv, var",
MPAMBOLY LOJY,32,"mboly, mpam",
MAMBOLY BAGEDA,32,"mam, mboly",
MIVAROTRA FRIPPE,32,"miv, var",
MANAO SARANKATSAHA,32,man,
NIAVA VARY,32,"var, vary",
MITAONA HAZO,32,,
MIVAROTRA LAMBA FRIPERIE,32,"miv, var, lamba",
KARAMAN'ANDRO,31,"man, karama",
MIOMPY GANA,31,,
MIKARAMA MANAO CHARBON,31,"man, karama",
MIKARAMA MIKAPOBATO ENY @CARRIERE,30,karama,
MPATSAKA RANO,30,rano,
