Colonne;Type;Non-Null;% Présent;Unique;Min;Max;Moyenne;Exemples
q4a_92;str;5630;8.3;24;-;-;-;['10.0', '10.0', '6.0']
q4a_91;float64;5630;8.3;7;1.0;7.0;3.7;[5.0, 5.0, 6.0]
q4a_90;str;5630;8.3;62;-;-;-;['Vanille verte', 'Vanille verte', 'Vanille verte'...
q4a_85;str;5330;7.8;2;-;-;-;['Oui', 'Oui', 'Oui']
q4a_86;str;4146;6.1;61;-;-;-;['10.0', '30.0', '3.0']
q4a_52b;str;3990;5.9;4;-;-;-;['Jour', 'Jour', 'Jour']
q4a_52a;str;4005;5.9;118;-;-;-;['3.0', '3.0', '2.0']
q4a_21;str;3371;5.0;2541;-;-;-;['COTISSE', 'SOCIETE CMDM', 'ECOLE PRIMAIRE PUBLIQ...
q4a_25;str;2618;3.9;4;-;-;-;"['Vous avec les autres', 'Vous avec les autres', ""..."
q4a_95;str;2447;3.6;24;-;-;-;['7.0', '6.0', '1.0']
q4a_94;float64;2447;3.6;7;1.0;7.0;5.32;[7.0, 2.0, 7.0]
q4a_79;str;2140;3.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_77;str;2117;3.1;2;-;-;-;['Oui', 'Oui', 'Non']
q4a_76;str;2140;3.1;51;-;-;-;['10.0', '16.0', '30.0']
q4a_59;float64;2140;3.1;25;0.0;78.0;5.24;[7.0, 7.0, 9.0]
q4a_56c;float64;2134;3.1;10;0.0;9.0;2.54;[0.0, 0.0, 2.0]
q4a_541;str;2140;3.1;948;-;-;-;['MAMAKY VATO', 'MANASA LAMBA', 'MAMBOLY VARY']
q4a_54d;float64;2132;3.1;10;0.0;9.0;1.24;[3.0, 3.0, 1.0]
q4a_55;str;2140;3.1;868;-;-;-;['FAMAKINA VATO', 'FANASANA LAMBA', 'MAMBOLY VARY'...
q4a_56;str;2137;3.1;163;-;-;-;['B0810', 'T9700', 'A0112']
q4a_54c;float64;2137;3.1;9;1.0;9.0;1.63;[1.0, 3.0, 1.0]
q4a_560;str;2137;3.1;20;-;-;-;['B', 'T', 'A']
q4a_56a;float64;2137;3.1;57;1.0;99.0;13.59;[8.0, 97.0, 1.0]
q4a_54b;float64;2137;3.1;6;1.0;9.0;2.05;[1.0, 1.0, 1.0]
q4a_54a;float64;2132;3.1;10;0.0;9.0;6.48;[7.0, 9.0, 6.0]
q4a_56b;float64;2137;3.1;10;0.0;9.0;2.74;[1.0, 0.0, 1.0]
q4a_54;float64;2137;3.1;143;110.0;9333.0;6669.46;[7113.0, 9133.0, 6111.0]
q4a_57;str;2140;3.1;5;-;-;-;['En tant que salariÃ©', 'En tant que salariÃ©', '...
q4a_98;str;1947;2.9;14;-;-;-;['Poster, actualiser mon CV sur des rÃ©seaux profe...
q4a_44;float64;1837;2.7;43;1.0;245.0;37.91;[3.0, 3.0, 30.0]
q4a_34;float64;1780;2.6;37;0.0;300.0;24.4;[1.0, 30.0, 30.0]
q4a_67;str;1521;2.2;2;-;-;-;['Non', 'Non', 'Non']
q4a_65;str;1521;2.2;2;-;-;-;['Non', 'Non', 'Non']
q4a_63;str;1521;2.2;2;-;-;-;['Non', 'Non', 'Non']
q4a_62b;str;1521;2.2;4;-;-;-;['Jour', 'Semaine', 'Mois']
q4a_61;str;1521;2.2;7;-;-;-;['Entreprise privÃ©e (non agricole)', 'MÃ©nage pri...
q4a_60;str;1521;2.2;4;-;-;-;['Ne sait pas', 'Non applicable', 'Non applicable'...
q4a_58;str;1296;1.9;2;-;-;-;['Non', 'Oui', 'Non']
q4a_74;str;887;1.3;42;-;-;-;['5.0', '2.0', '2.0']
q4a_50a;str;825;1.2;104;-;-;-;['20.0', '15.0', 'Si les avantages sont tous inclu...
q4a_78;str;809;1.2;49;-;-;-;['20.0', '15.0', '30.0']
