idHH_clean,salaire_mensuel,hhmilieu2,hhreg,q4a_02,score_individuel_epm
000000000101,0.0,1,33,Oui,6.833333333333333
000000000102,0.0,1,33,Non,6.833333333333333
000000000103,0.0,1,33,Oui,6.0
000000000103,0.0,1,33,Non,6.833333333333333
000000000104,0.0,1,33,Non,7.666666666666666
000000000104,0.0,1,33,Non,8.5
000000000105,0.0,1,33,Non,6.0
000000000105,0.0,1,33,Non,6.833333333333333
000000000105,0.0,1,33,Non,7.666666666666666
000000000106,0.0,1,33,Non,6.833333333333333
000000000107,0.0,1,33,Non,6.0
000000000107,0.0,1,33,Oui,6.833333333333333
000000000108,0.0,1,33,Non,6.0
000000000109,0.0,1,33,Non,7.666666666666666
000000000109,0.0,1,33,Non,8.5
000000000109,0.0,1,33,Non,9.333333333333332
000000000109,0.0,1,33,Non,10.166666666666666
000000000110,0.0,1,33,Non,6.0
000000000110,0.0,1,33,Non,6.833333333333333
000000000110,0.0,1,33,Non,7.666666666666666
000000000111,0.0,1,33,Non,6.833333333333333
000000000111,0.0,1,33,Non,7.666666666666666
000000000201,0.0,1,41,Non,6.0
000000000202,0.0,1,41,Non,6.833333333333333
000000000202,0.0,1,41,Non,7.666666666666666
000000000203,0.0,1,41,Non,6.833333333333333
000000000203,0.0,1,41,Non,7.666666666666666
000000000203,0.0,1,41,Non,8.5
000000000204,0.0,1,41,Oui,6.0
000000000204,0.0,1,41,Oui,6.833333333333333
000000000205,0.0,1,41,Non,6.0
000000000205,0.0,1,41,Non,6.833333333333333
000000000205,0.0,1,41,Non,7.666666666666666
000000000205,0.0,1,41,Non,8.5
000000000205,0.0,1,41,Non,9.333333333333332
000000000206,0.0,1,41,Non,6.833333333333333
000000000206,0.0,1,41,Non,7.666666666666666
000000000206,0.0,1,41,Non,8.5
000000000206,0.0,1,41,Non,9.333333333333332
000000000208,0.0,1,41,Oui,6.833333333333333
000000000208,0.0,1,41,Non,7.666666666666666
000000000208,0.0,1,41,Non,8.5
000000000208,0.0,1,41,Non,10.166666666666666
000000000209,0.0,1,41,Non,6.0
000000000209,0.0,1,41,Non,6.833333333333333
000000000210,0.0,1,41,Oui,6.0
000000000211,0.0,1,41,Non,6.833333333333333
000000000212,0.0,1,41,Non,7.666666666666666
000000000212,0.0,1,41,Non,9.333333333333332
000000000301,0.0,2,62,Oui,21.0
000000000301,0.0,2,62,Non,21.833333333333332
000000000301,0.0,2,62,Non,22.666666666666664
000000000301,0.0,2,62,Non,23.5
000000000302,0.0,2,62,Oui,21.0
000000000302,0.0,2,62,Non,21.833333333333332
000000000302,0.0,2,62,Non,22.666666666666664
000000000303,0.0,2,62,Non,21.833333333333332
000000000304,0.0,2,62,Oui,21.0
000000000304,0.0,2,62,Non,21.833333333333332
000000000304,0.0,2,62,Non,22.666666666666664
000000000305,0.0,2,62,Oui,21.0
000000000305,0.0,2,62,Oui,21.833333333333332
000000000306,0.0,2,62,Oui,21.0
000000000306,0.0,2,62,Non,23.5
000000000306,0.0,2,62,Non,24.333333333333332
000000000306,0.0,2,62,Non,25.166666666666664
000000000308,0.0,2,62,Non,21.833333333333332
000000000308,0.0,2,62,Non,22.666666666666664
000000000309,0.0,2,62,Oui,21.0
000000000309,0.0,2,62,Non,21.833333333333332
000000000309,0.0,2,62,Non,22.666666666666664
000000000309,0.0,2,62,Non,23.5
000000000309,0.0,2,62,Non,24.333333333333332
000000000310,0.0,2,62,Oui,21.0
000000000310,0.0,2,62,Non,21.833333333333332
000000000311,0.0,2,62,Oui,21.0
000000000312,0.0,2,62,Non,21.833333333333332
000000000312,0.0,2,62,Non,22.666666666666664
000000000312,0.0,2,62,Non,23.5
000000000401,0.0,1,41,Oui,6.0
000000000401,0.0,1,41,Non,7.666666666666666
000000000402,0.0,1,41,Oui,6.0
000000000402,0.0,1,41,Non,6.833333333333333
000000000402,0.0,1,41,Non,8.5
000000000402,0.0,1,41,Non,9.333333333333332
000000000402,0.0,1,41,Non,10.166666666666666
000000000403,0.0,1,41,Non,6.833333333333333
000000000403,0.0,1,41,Non,7.666666666666666
000000000404,0.0,1,41,Non,6.0
000000000404,0.0,1,41,Non,7.666666666666666
000000000405,0.0,1,41,Oui,6.0
000000000405,0.0,1,41,Non,6.833333333333333
000000000406,0.0,1,41,Non,6.833333333333333
000000000407,0.0,1,41,Oui,6.0
000000000407,0.0,1,41,Non,6.833333333333333
000000000407,0.0,1,41,Non,8.5
000000000408,0.0,1,41,Oui,6.0
000000000409,0.0,1,41,Oui,6.0
000000000409,0.0,1,41,Non,6.833333333333333
000000000409,0.0,1,41,Non,7.666666666666666
000000000409,0.0,1,41,Non,8.5
000000000410,0.0,1,41,Oui,6.0
000000000410,0.0,1,41,Oui,6.833333333333333
000000000410,0.0,1,41,Non,7.666666666666666
000000000410,0.0,1,41,Non,8.5
000000000410,0.0,1,41,Non,9.333333333333332
000000000410,0.0,1,41,Non,10.166666666666666
000000000410,0.0,1,41,Non,10.999999999999998
000000000411,0.0,1,41,Oui,6.0
000000000411,0.0,1,41,Non,6.833333333333333
000000000412,0.0,1,41,Non,6.0
000000000412,0.0,1,41,Non,6.833333333333333
000000000412,0.0,1,41,Non,7.666666666666666
000000000501,0.0,1,11,Non,6.0
000000000501,0.0,1,11,Non,6.833333333333333
000000000501,0.0,1,11,Non,7.666666666666666
000000000502,0.0,1,11,Non,6.833333333333333
000000000502,0.0,1,11,Non,7.666666666666666
000000000502,0.0,1,11,Non,8.5
000000000503,0.0,1,11,Non,6.833333333333333
000000000503,0.0,1,11,Non,8.5
000000000503,0.0,1,11,Non,9.333333333333332
000000000503,0.0,1,11,Non,10.166666666666666
000000000504,0.0,1,11,Non,6.833333333333333
000000000505,0.0,1,11,Non,6.0
000000000505,0.0,1,11,Non,6.833333333333333
000000000506,0.0,1,11,Non,6.0
000000000506,0.0,1,11,Non,7.666666666666666
000000000507,0.0,1,11,Non,6.0
000000000507,0.0,1,11,Non,6.833333333333333
000000000508,0.0,1,11,Non,6.833333333333333
000000000508,0.0,1,11,Non,8.5
000000000508,0.0,1,11,Non,9.333333333333332
000000000508,0.0,1,11,Non,10.166666666666666
000000000510,0.0,1,11,Oui,6.833333333333333
000000000511,0.0,1,11,Oui,7.666666666666666
000000000511,0.0,1,11,Non,8.5
000000000512,0.0,1,11,Oui,6.0
000000000512,0.0,1,11,Non,6.833333333333333
000000000601,0.0,2,12,Non,21.0
000000000602,0.0,2,12,Oui,21.0
000000000602,0.0,2,12,Non,21.833333333333332
000000000603,0.0,2,12,Non,22.666666666666664
000000000604,0.0,2,12,Non,23.5
000000000605,0.0,2,12,Oui,21.0
000000000605,0.0,2,12,Non,21.833333333333332
000000000606,0.0,2,12,Non,21.0
000000000606,0.0,2,12,Non,21.833333333333332
000000000607,0.0,2,12,Oui,21.0
000000000608,0.0,2,12,Oui,21.0
000000000608,0.0,2,12,Oui,21.833333333333332
000000000608,0.0,2,12,Non,22.666666666666664
000000000608,0.0,2,12,Non,23.5
000000000608,0.0,2,12,Non,24.333333333333332
000000000608,0.0,2,12,Non,25.166666666666664
000000000609,0.0,2,12,Non,21.0
000000000609,0.0,2,12,Oui,21.833333333333332
000000000610,0.0,2,12,Oui,21.0
000000000610,0.0,2,12,Non,21.833333333333332
000000000610,0.0,2,12,Non,22.666666666666664
000000000610,0.0,2,12,Non,23.5
000000000610,0.0,2,12,Non,24.333333333333332
000000000611,0.0,2,12,Oui,21.0
000000000611,0.0,2,12,Non,21.833333333333332
000000000611,0.0,2,12,Non,22.666666666666664
000000000611,0.0,2,12,Non,23.5
000000000612,0.0,2,12,Oui,21.0
000000000612,0.0,2,12,Non,21.833333333333332
000000000612,0.0,2,12,Non,22.666666666666664
000000000701,0.0,1,61,Non,7.666666666666666
000000000701,0.0,1,61,Non,8.5
000000000702,0.0,1,61,Non,6.833333333333333
000000000704,0.0,1,61,Oui,6.0
000000000704,0.0,1,61,Non,6.833333333333333
000000000705,0.0,1,61,Non,6.0
